time (hr),oxidation_proportion
0.0,0.0
0.17006802721088435,0.10607970125371949
0.3401360544217687,0.20090676291396392
0.510204081632653,0.28567476248886703
0.6802721088435374,0.36145064571464414
0.8503401360544217,0.4291886312393083
1.020408163265306,0.48974112601177583
1.1904761904761905,0.5438705544592057
1.3605442176870748,0.5922588040941724
1.530612244897959,0.6355128675623192
1.7006802721088434,0.6741772587888032
1.8707482993197277,0.7087402844135872
2.040816326530612,0.7396373444830177
2.2108843537414966,0.7672567895897504
2.380952380952381,0.7919461436448947
2.5510204081632653,0.8140164258792
2.7210884353741496,0.8337456035698115
2.8911564625850334,0.8513819245189106
3.061224489795918,0.8671473248656822
3.2312925170068025,0.8812401522236775
3.401360544217687,0.8938379392469716
3.5714285714285707,0.9050993717002548
3.7414965986394555,0.9151662176590932
3.91156462585034,0.9241652172042863
4.081632653061224,0.9322096743425653
4.2517006802721085,0.9394007895995051
4.421768707482993,0.9458290435224989
4.591836734693877,0.951575381905759
4.761904761904762,0.9567121748048844
4.931972789115646,0.9613040730569069
5.1020408163265305,0.9654088623524555
5.272108843537414,0.9690782367260984
5.442176870748299,0.9723583726826077
5.612244897959183,0.9752905515073181
5.782312925170067,0.9779116748277699
5.952380952380952,0.9802547653128231
6.122448979591836,0.9823493083664363
6.29251700680272,0.9842216619658403
6.462585034013605,0.985895399567016
6.63265306122449,0.9873915934284526
6.802721088435374,0.9887290732405366
6.972789115646258,0.9899246695957451
7.1428571428571415,0.9909934424434684
7.312925170068027,0.9919488438943589
7.482993197278911,0.9928028980438159
7.653061224489795,0.9935663517163316
7.82312925170068,0.9942488223911372
7.993197278911564,0.9948588982457486
8.163265306122447,0.99540425675678
8.333333333333332,0.9958917642885895
